zone_code,yaw_bin_center_deg,status,weight,convention
A07,-60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A07,-40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A07,-25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A07,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A07,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A07,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A07,25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A07,40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A07,60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A08,-60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A08,-40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A08,-25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A08,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A08,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A08,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A08,25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A08,40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A08,60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A09,-60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A09,-40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A09,-25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A09,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A09,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A09,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A09,25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A09,40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A09,60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A10,-60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A10,-40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A10,-25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A10,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A10,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A10,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A10,25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A10,40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A10,60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A11,-60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A11,-40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A11,-25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A11,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A11,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A11,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A11,25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A11,40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A11,60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A12,-60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A12,-40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A12,-25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A12,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A12,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A12,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A12,25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A12,40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A12,60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A13,-60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A13,-40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A13,-25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A13,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A13,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A13,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A13,25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A13,40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A13,60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A14,-60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A14,-40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A14,-25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A14,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A14,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A14,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A14,25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A14,40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A14,60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A15,-60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A15,-40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A15,-25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A15,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A15,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A15,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A15,25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A15,40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A15,60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A16,-60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A16,-40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A16,-25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A16,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A16,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A16,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A16,25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A16,40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A16,60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A17,-60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A17,-40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A17,-25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A17,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A17,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A17,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A17,25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A17,40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A17,60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A18,-60,exclude,0.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A18,-40,limited,0.4,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A18,-25,support,0.7,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A18,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A18,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A18,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A18,25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A18,40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A18,60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A19,-60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A19,-40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A19,-25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A19,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A19,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A19,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A19,25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A19,40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A19,60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A20,-60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A20,-40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A20,-25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A20,-10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A20,0,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A20,10,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A20,25,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A20,40,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
A20,60,primary,1.0,"visible-side never exclude; side labels from empirical L/R profile mass (A17 left-jaw, A18 right-jaw; A19/A20 bilateral anterior)"
